"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
98,166.0,42.0,142.0,9660.0,2509.0,8466.0,1546.0,319.0,1043.0,108318.0,16507.0,95899.0,760.0,1067.0,479.0,319.0,0.0,830.0,213.0,40140.0,68178.0,9181.0,7326.0,27721.0,68178.0,240.0,520.0,42.0,0.0,117.0,25.0,3810.0,5850.0,1273.0,1236.0,3001.0,5465.0
100,166.0,167.0,724.0,10885.0,7904.0,10370.0,12267.0,1142.0,6167.0,604442.0,91765.0,529206.0,4532.0,10691.0,1576.0,1142.0,0.0,4591.0,1576.0,219926.0,384516.0,39229.0,52536.0,144690.0,384516.0,1672.0,2860.0,167.0,0.0,560.0,164.0,4385.0,6500.0,2965.0,4939.0,3870.0,6500.0
102,166.0,2.0,56.0,6512.0,749.0,4963.0,763.0,119.0,550.0,36564.0,5046.0,35910.0,519.0,615.0,148.0,119.0,0.0,467.0,83.0,14454.0,22110.0,4914.0,132.0,13800.0,22110.0,194.0,325.0,2.0,0.0,54.0,2.0,2612.0,3900.0,749.0,0.0,1971.0,2992.0
104,166.0,45.0,152.0,9796.0,2029.0,8364.0,1343.0,318.0,978.0,93654.0,13277.0,84470.0,802.0,1026.0,317.0,318.0,0.0,794.0,184.0,35772.0,57882.0,8987.0,4290.0,26588.0,57882.0,282.0,520.0,45.0,0.0,133.0,19.0,3881.0,5915.0,1249.0,780.0,3043.0,5321.0
106,166.0,203.0,773.0,10900.0,1540.0,10118.0,51970.0,1407.0,6880.0,386095.0,16597.0,325650.0,5142.0,18169.0,33801.0,1407.0,0.0,5204.0,1676.0,154633.0,231462.0,16597.0,0.0,94188.0,231462.0,1637.0,3505.0,203.0,0.0,602.0,171.0,4400.0,6500.0,1540.0,0.0,3674.0,6444.0
108,166.0,26.0,83.0,6139.0,824.0,4930.0,954.0,224.0,637.0,38594.0,5956.0,37494.0,436.0,746.0,208.0,224.0,0.0,494.0,143.0,15098.0,23496.0,5362.0,594.0,13998.0,23496.0,176.0,260.0,26.0,0.0,66.0,17.0,2434.0,3705.0,759.0,65.0,1882.0,3048.0
110,166.0,2.0,52.0,9794.0,1816.0,8361.0,920.0,106.0,531.0,92838.0,12613.0,84603.0,392.0,645.0,275.0,106.0,0.0,452.0,79.0,35682.0,57156.0,9115.0,3498.0,27447.0,57156.0,132.0,260.0,2.0,0.0,50.0,2.0,3879.0,5915.0,1231.0,585.0,3081.0,5280.0
112,166.0,182.0,693.0,10887.0,2664.0,10018.0,61922.0,1393.0,6619.0,414888.0,21096.0,342060.0,4425.0,12561.0,49361.0,1393.0,0.0,5033.0,1586.0,163428.0,251460.0,14364.0,6732.0,90600.0,251460.0,1378.0,3047.0,182.0,0.0,536.0,157.0,4387.0,6500.0,1611.0,1053.0,3583.0,6435.0
114,166.0,18.0,50.0,6598.0,961.0,5262.0,861.0,145.0,485.0,36977.0,6312.0,36270.0,424.0,754.0,107.0,145.0,0.0,387.0,98.0,14471.0,22506.0,5454.0,858.0,13764.0,22506.0,164.0,260.0,18.0,0.0,46.0,4.0,2633.0,3965.0,831.0,130.0,2036.0,3226.0
116,166.0,20.0,118.0,9791.0,2082.0,8320.0,1468.0,194.0,899.0,94776.0,14647.0,88038.0,802.0,1100.0,368.0,194.0,0.0,731.0,168.0,36234.0,58542.0,10225.0,4422.0,29496.0,58542.0,282.0,520.0,20.0,0.0,99.0,19.0,3876.0,5915.0,1363.0,719.0,3159.0,5161.0
