"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
133.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
134.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
135.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
136.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
137.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
138.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
139.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
140.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
141.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
142.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
143.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
144.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
145.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
146.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
147.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
148.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
149.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
150.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
151.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
152.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
153.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
154.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
155.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
156.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
157.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
158.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
159.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
160.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
161.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
162.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
163.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
164.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
165.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
166.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
